ES,GD
[72560.72668978],272887666870.4639
[72560.72668978],271857926949.70953
[72560.72668978],270831104071.75543
[72560.72668978],269807192722.46744
[72560.72668978],268786187392.92795
[72560.72668978],267768082579.4353
[72350.4661077],266752872783.5041
[71986.78649129],265740552511.86777
[71986.78649129],264731116276.4734
[71986.78649129],263724558594.4875
[71986.78649129],262720873988.29193
[71986.78649129],261720056985.48425
[71884.98028109],260722102118.88092
[71884.98028109],259727003926.5135
[71884.98028109],258734756951.6306
[71134.10357077],257745355742.69803
[71134.10357077],256758794853.3963
[70636.38336484],255775068842.6264
[70636.38336484],254794172274.5013
[69465.2301014],253816099718.35468
[69465.2301014],252840845748.73416
[69465.2301014],251868404945.4048
[69465.2301014],250898771893.34952
[68848.78977832],249931941182.76648
[68848.78977832],248967907409.0712
[68848.78977832],248006665172.8952
[68848.78977832],247048209080.0873
[68848.78977832],246092533741.71286
[68848.78977832],245139633774.05356
[68848.78977832],244189503798.609
[68848.78977832],243242138442.09286
[68848.78977832],242297532336.43826
[68848.78977832],241355680118.7932
[68848.78977832],240416576431.52286
[68848.78977832],239480215922.20978
[68161.83196339],238546593243.6523
[68161.83196339],237615703053.8658
[68161.83196339],236687540016.082
[68161.83196339],235762098798.74927
[68161.83196339],234839374075.5337
[68161.83196339],233919360525.3161
[67875.04894075],233002052832.19565
[66530.63409623],232087445685.48776
[65580.16898991],231175533779.72363
[65580.16898991],230266311814.65283
[64356.53246563],229359774495.23975
[64356.53246563],228455916531.66672
[64356.53246563],227554732639.33255
[64087.58963775],226656217538.85193
[64087.58963775],225760365956.0571
[64087.58963775],224867172621.99658
[64087.58963775],223976632272.93564
[64087.58963775],223088739650.35562
[64087.58963775],222203489500.9561
[64045.31611856],221320876576.65164
[64045.31611856],220440895634.57358
[64045.31611856],219563541437.07193
[64045.31611856],218688808751.71136
[64045.31611856],217816692351.27237
[64045.31611856],216947187013.75543
[64045.31611856],216080287522.37445
[64032.30752605],215215988665.5622
[64032.30752605],214354285236.96692
[64032.30752605],213495172035.45352
[64032.30752605],212638643865.1042
[64032.30752605],211784695535.2171
[64032.30752605],210933321860.30756
[63815.50549907],210084517660.10825
[63815.50549907],209238277759.5665
[63815.50549907],208394596988.84805
[63815.50549907],207553470183.33484
[63481.86376308],206714892183.62558
[63481.86376308],205878857835.53488
[63481.86376308],205045361990.09485
[63481.86376308],204214399503.55408
[63481.86376308],203385965237.3775
[63481.86376308],202560054058.24747
[63481.86376308],201736660838.06204
[63481.86376308],200915780453.93665
[63481.86376308],200097407788.2029
[63481.86376308],199281537728.40955
[63481.86376308],198468165167.32135
[63481.86376308],197657285002.92053
[63481.86376308],196848892138.40546
[63481.86376308],196042981482.19135
[63481.86376308],195239547947.90982
[63481.86376308],194438586454.41
[63481.86376308],193640091925.75607
[63481.86376308],192844059291.23056
[63481.86376308],192050483485.33176
[63481.86376308],191259359447.775
[63481.86376308],190470682123.49185
[63481.86376308],189684446462.63022
[63481.86376308],188900647420.55646
[63481.86376308],188119279957.8518
[63481.86376308],187340339040.31458
[63481.86376308],186563819638.96002
[58964.96511297],185789716730.0201
[58964.96511297],185018025294.9429
[58371.80882266],184248740320.3942
[58371.80882266],183481856798.2547
[58371.80882266],182717369725.6244
[58371.80882266],181955274104.81708
[58371.80882266],181195564943.36514
[58371.80882266],180438237254.01688
[58371.80882266],179683286054.7373
